PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3202784,21004449,3,2021-01-08T20:10:00,"7100 Block Race ST Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1302,9,2,-79.89793867,40.45933422
3203138,21006319,3,2021-01-12T04:27:00,"N Richland ST & Tioga ST Pittsburgh, PA 15208",N,Homewood South,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1303,9,2,-79.89320194,40.45254924
3204446,20233195,3,2020-12-19T21:37:00,"Brutus WY & Thornton ST Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,"3701 Robbery. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3921(a) Theft by Unlawful Taking or Disposition - Movable item",2018,2,5,-80.05533683,40.45652032
3205393,21014969,3,2021-01-26T07:15:00,"Buente ST & Rhine ST Pittsburgh, PA 15212",N,Spring Hill-City View,1,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,2620,1,1,-79.99381144,40.46636065
3206485,21017301,3,2021-01-30T07:37:00,"Murray AV & Forward AV Pittsburgh, PA 15217",Y,Squirrel Hill South,4,ROBBERY/CARJACK/STRONGARM,"2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3925 Receiving Stolen Property. / 3928 Unauthorized Use of Automobile and Other Vehicles. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1414,5,3,-79.92348861,40.4297459
3206509,21017375,3,2021-01-30T10:21:00,"70 Block E Carson ST Pittsburgh, PA 15210",N,South Shore,3,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition.,1921,3,5,-80.00186267,40.43110805
3206546,21017475,3,2021-01-30T14:12:00,"Monticello ST & Collier ST Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY),1302,9,2,-79.89107518,40.45852919
3207404,20232838,3,2020-12-19T05:53:00,"300 Block Stanhope ST Pittsburgh, PA 15204",Y,Esplen,6,ROBBERY/CARJACK/OTHER,2705 Recklessy Endangering Another Person. / 2902 Unlawful Restraint. / 3702 Robbery of Motor Vehicle.,2017,2,5,-80.0560988,40.46363615
3207664,21019312,3,2021-02-02T19:15:00,"Benton AV & Atkins ST Pittsburgh, PA 15212",N,Brighton Heights,1,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2708,1,1,-80.03466657,40.48507966
3211802,21032724,3,2021-02-26T05:35:00,"3000 Block Cake WY Pittsburgh, PA 15212",N,Marshall-Shadeland,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2715,1,1,-80.03132474,40.47149557
