PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
2077756,5000919,3,2005-01-02T15:50:00,"PENN AV & 21ST ST PITTSBURGH, PA ",Y,Central Oakland,2,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,202,7,6,-79.98311555,40.45168468
2949855,17198919,3,2017-10-14T20:19:00,"400 Block S Braddock AV Pittsburgh, PA 15221",N,Point Breeze,4,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle. / 3736 Reckless Driving / 3745 Accidents Involving Damage to Unattended Veh.or Prop.,1406,9,3,-79.89727816,40.44399612
2950093,17194830,3,2017-09-14T12:00:00,"2500 Block Bedford AV Pittsburgh, PA 15219",N,Bedford Dwellings,2,ROBBERY/CARJACK/GUN,3921 Theft by Unlawful Taking or Disposition.,509,6,3,-79.97278341,40.45052409
2950512,17200021,3,2017-10-15T22:30:00,"500 Block N Braddock AV Pittsburgh, PA 15221",N,Homewood South,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1304,9,3,-79.8974287,40.4421885
2952030,17202560,3,2017-10-19T23:10:00,"100 Block S 17th ST Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY/CARJACK/GUN,3701 Robbery.,1702,3,4,-79.98215432,40.42852531
2952127,17184335,3,2017-09-25T00:30:00,"200 Block East Ohio ST Pittsburgh, PA 15212",N,Allegheny Center,1,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2204,1,1,-80.00366043,40.45302239
2954032,17181875,3,2017-09-21T18:25:00,"1200 Block Hamlin ST Pittsburgh, PA 15233",N,Manchester,1,ROBBERY/CARJACK/GUN,3701 Robbery.,2107,6,1,-80.02250238,40.4533372
2956201,17212618,3,2017-11-03T03:42:00,"Brushton AV & Tioga ST Pittsburgh, PA 15221",N,Homewood South,5,ROBBERY/CARJACK/STRONGARM,3743 Accidents Involving Damage to Attended Veh. or Property / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1304,9,2,-79.89004057,40.45125366
2963588,17239801,3,2017-12-13T14:42:00,"2700 Block Merwyn ST Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,2018,2,5,-80.04871352,40.45373936
2963901,17242264,3,2017-12-17T03:22:00,"7700 Block Penn AV Pittsburgh, PA 15221",Y,Point Breeze North,4,ROBBERY/CARJACK/OTHER,2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 4914(A) False Identification to Law Enforcement,1405,9,3,-79.89361993,40.44608961
2968891,18004774,3,2018-01-08T19:50:00,"400 Block Jonathan CT Pittsburgh, PA 15208",Y,Point Breeze North,4,ROBBERY/CARJACK/STRONGARM,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition.,1405,9,2,-79.89994325,40.45248338
2971698,18012242,3,2018-01-20T01:30:00,"3300 Block Brighton RD Pittsburgh, PA 15212",N,Brighton Heights,1,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,2708,1,1,-80.03152303,40.47662892
2984066,18052698,3,2018-03-21T19:07:00,"1400 Block Jeffers ST Pittsburgh, PA 15204",Y,Sheraden,6,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,2022,2,5,-80.06604849,40.45209345
2991129,18071443,3,2018-04-18T00:34:00,"40 Block Auburn ST Pittsburgh, PA 15206",Y,Larimer,5,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle. / 3925 Receiving Stolen Property. / 4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 1501 Drivers Required to be Licensed. / 3745 Accidents Involving Damage to Unattended Veh.or Prop.,1208,9,2,-79.91678996,40.463793
2993083,18079388,3,2018-04-29T13:00:00,"3000 Block Brunot AV Pittsburgh, PA 15204",Y,Sheraden,6,ROBBERY/CARJACK/STRONGARM,2705 Recklessy Endangering Another Person. / 3701 Robbery. / 3921 Theft by Unlawful Taking or Disposition. / 3742 Accidents Involving Death or Personal Injury,2018,2,5,-80.0505151,40.4591111
2994183,18060930,3,2018-04-02T21:52:00,"200 Block Wick ST Pittsburgh, PA 15219",N,Crawford-Roberts,2,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,305,6,3,-79.97967672,40.4394249
2995927,18087069,3,2018-05-10T07:11:00,"700 Block Casino DR Pittsburgh, PA 15212",N,Chateau,1,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,2108,6,6,-80.02075781,40.44686778
3002120,18104925,3,2018-06-03T01:45:00,"Sterrett ST & Kelly ST Pittsburgh, PA 15208",Y,Homewood South,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1303,9,2,-79.8948684,40.45505065
3006329,18121419,3,2018-06-25T18:55:00,"600 Block East Ohio ST Pittsburgh, PA 15212",N,Bluff,1,ROBBERY/CARJACK/STRONGARM,903 Criminal Conspiracy. / 2701 Simple Assault. / 3702 Robbery of Motor Vehicle.,103,1,1,-79.99897808,40.45397779
3010926,18132455,3,2018-07-12T16:08:00,"3200 Block Lecky AV Pittsburgh, PA 15212",N,Marshall-Shadeland,1,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3701 Robbery.,2715,1,1,-80.0344226,40.47444481
3013444,18140804,3,2018-07-23T20:10:00,"400 Block N Highland AV Pittsburgh, PA 15206",N,East Liberty,5,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 3702 Robbery of Motor Vehicle.,1115,9,2,-79.92217494,40.46516578
3013624,18141779,3,2018-07-25T05:30:00,"100 Block Rhine PL Pittsburgh, PA 15212",N,Spring Hill-City View,1,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2620,1,1,-79.99204185,40.46535964
3013953,18121419,3,2018-06-25T18:55:00,"600 Block East Ohio ST Pittsburgh, PA 15212",N,East Allegheny,1,ROBBERY/CARJACK/STRONGARM,903 Criminal Conspiracy. / 2701 Simple Assault. / 3702 Robbery of Motor Vehicle.,2304,1,1,-79.99897808,40.45397779
3014374,18145268,3,2018-07-29T21:10:00,"S 18th ST & Rugraff ST Pittsburgh, PA 15210",N,South Side Slopes,3,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1706,3,3,-79.98761081,40.41961558
3016962,18150216,3,2018-08-05T21:31:00,"2800 Block Shadeland AV Pittsburgh, PA 15212",N,Marshall-Shadeland,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2715,1,1,-80.03012049,40.46995271
3017616,18151338,3,2018-08-07T13:33:00,"7300 Block Reynolds ST Pittsburgh, PA 15208",Y,Point Breeze,4,ROBBERY/CARJACK/STRONGARM,903 Criminal Conspiracy. / 2701 Simple Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,1406,9,3,-79.90133519,40.4458249
3017617,18146849,3,2018-08-01T05:00:00,"E North AV & Boyle ST Pittsburgh, PA 15212",Y,Allegheny Center,1,ROBBERY/CARJACK/GUN,901 Criminal Attempt / 3701 Robbery.,2204,1,1,-80.00571141,40.45563223
3017632,18150778,3,2018-08-06T17:40:00,"6400 Block Penn AV Pittsburgh, PA 15206",Y,Larimer,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1208,9,2,-79.91743506,40.45751349
3025488,18176591,3,2018-09-09T16:22:00,"Dagmar AV & Hampshire AV Pittsburgh, PA 15216",N,Beechview,6,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1916,4,5,-80.02284348,40.41064058
3027472,18170493,3,2018-09-01T16:08:00,"500 Block Liberty AV Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY/CARJACK/GUN,903 Criminal Conspiracy. / 2901 Kidnapping. / 2902 Unlawful Restraint. / 3702 Robbery of Motor Vehicle.,201,6,6,-80.00359311,40.44121755
3028595,18187117,3,2018-09-22T21:02:00,"100 Block Riverview AV Pittsburgh, PA 15214",N,Perry North,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2602,1,1,-80.01687909,40.48329393
3034220,18211216,3,2018-10-24T19:48:00,Zone 3,N,,3,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle.,,,,,
3039246,18189202,3,2018-09-25T18:13:00,"400 Block Bark ST Pittsburgh, PA 15214",Y,Perry South,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2614,6,1,-80.00589088,40.46774686
3043966,18223799,3,2018-11-12T18:39:00,"500 Block East End AV Pittsburgh, PA 15221",N,Point Breeze,4,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1406,9,3,-79.89581085,40.44275131
3043970,18233747,3,2018-11-28T02:30:00,"1900 Block Brownsville RD Pittsburgh, PA 15210",N,Carrick,3,ROBBERY/CARJACK/GUN,2706 Terroristic Threats. / 3701 Robbery. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2901,4,3,-79.98750881,40.3960604
3046686,18244050,3,2018-12-11T22:00:00,"Remington DR & Sunrise AV Pittsburgh, PA 15221",N,East Hills,5,ROBBERY/CARJACK/GUN,3701 Robbery.,1306,9,2,-79.86927372,40.45084738
3051006,19001798,3,2019-01-03T16:57:00,"1900 Block Waite ST Pittsburgh, PA 15210",N,Arlington,3,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle.,1603,3,3,-79.97874514,40.41717892
3051620,19003452,3,2019-01-06T04:24:00,"East Liberty BL & N Negley AV Pittsburgh, PA 15206",N,East Liberty,5,ROBBERY/CARJACK/STRONGARM,"3702 Robbery of Motor Vehicle. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1113,9,2,-79.92814425,40.46770574
3053461,19011123,3,2019-01-17T18:15:00,"200 Block Auburn ST Pittsburgh, PA 15206",Y,Larimer,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle. / 9125 Possible  Stolen Car Recovered,1208,9,2,-79.91452241,40.46183959
3054592,19016446,3,2019-01-26T02:39:00,"100 Block De Ruad ST Pittsburgh, PA 15219",N,West Oakland,4,ROBBERY/CARJACK/KNIFE,903 Criminal Conspiracy. / 2702 Aggravated Assault. / 3701 Robbery. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,402,,,-79.86466507,40.41985636
3057653,19022195,3,2019-02-04T02:38:00,"Frankstown AV & N Braddock AV Pittsburgh, PA 15208",Y,Homewood North,5,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3925 Receiving Stolen Property. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1302,9,2,-79.89002416,40.45596555
3065956,19051147,3,2019-03-18T21:42:00,"Liverpool ST & Fulton ST Pittsburgh, PA 15233",N,Manchester,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2107,6,1,-80.02506642,40.45527073
3070850,19067598,3,2019-04-12T15:05:00,"Hermitage ST & Brushton AV Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,1301,9,2,-79.88861061,40.45871485
3072802,19075024,3,2019-04-22T14:55:00,"1100 Block Woods Run AV Pittsburgh, PA 15212",N,Brighton Heights,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,2708,,,-79.88389821,40.44448757
3073188,19076091,3,2019-04-23T21:51:00,"3600 Block Forbes AV Pittsburgh, PA 15213",N,Central Oakland,4,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,405,3,3,-79.95744381,40.44027244
3073851,19078689,3,2019-04-27T02:30:00,"Susquehanna ST & El CT Pittsburgh, PA 15221",N,Homewood South,5,ROBBERY/CARJACK/STRONGARM,2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle.,1304,9,2,-79.8901623,40.45024487
3074007,19078539,3,2019-04-27T05:01:00,"S 18th ST & E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY/CARJACK/STRONGARM,2705 Recklessy Endangering Another Person. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1702,3,3,-79.98056527,40.42876656
3076089,19082180,3,2019-05-02T00:45:00,"600 Block East End AV Pittsburgh, PA 15221",N,Squirrel Hill North,4,ROBBERY/CARJACK/STRONGARM,903 Criminal Conspiracy. / 2701 Simple Assault. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,1403,9,3,-79.89667844,40.43956763
3077047,19086675,3,2019-05-08T01:04:00,"5500 Block Columbo ST Pittsburgh, PA 15206",N,Garfield,5,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 2706 Terroristic Threats. / 3701 Robbery. / 3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1114,9,2,-79.93167064,40.46861414
3081066,19101679,3,2019-05-27T10:28:00,"3100 Block Brighton RD Pittsburgh, PA 15212",N,Marshall-Shadeland,1,ROBBERY/CARJACK/GUN,3701 Robbery. / 3702 Robbery of Motor Vehicle.,2715,1,1,-80.0288329,40.47393593
3086209,19117500,3,2019-06-16T14:55:00,"Taylor ST & Idaline ST Pittsburgh, PA 15224",N,Bloomfield,5,ROBBERY/CARJACK/STRONGARM,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 3736 Reckless Driving / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,802,7,2,-79.95180896,40.46141436
3087379,19123617,3,2019-06-24T15:38:00,"5400 Block Penn AV Pittsburgh, PA 15224",N,Bloomfield,5,ROBBERY/CARJACK/GUN,"3701 Robbery. / 3702 Robbery of Motor Vehicle. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 1501 Drivers Required to be Licensed.",809,9,2,-79.9364192,40.46444914
3089520,19112577,3,2019-06-10T05:46:00,"200 Block Lombard ST Pittsburgh, PA 15219",N,Crawford-Roberts,2,ROBBERY/CARJACK/GUN,2901 Kidnapping. / 2903 False Imprisonment. / 3502 Burglary. / 3701 Robbery. / 3702 Robbery of Motor Vehicle.,305,,,0,0
3094097,19144737,3,2019-07-23T08:36:00,"1300 Block Federal ST Pittsburgh, PA 15212",Y,Central North Side,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2206,1,1,-80.00687647,40.45673942
3094694,19148156,3,2019-07-27T22:50:00,"2500 Block Brighton RD Pittsburgh, PA 15212",N,Marshall-Shadeland,1,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,2704,6,1,-80.02500971,40.4669233
3096623,19151297,3,2019-08-01T01:45:00,"2600 Block Penn AV Pittsburgh, PA 15222",N,Strip District,2,ROBBERY/CARJACK/GUN,2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 607.03 Discharging Firearm or Airgun / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,203,7,6,-79.9784289,40.45493694
3100164,19164436,3,2019-08-18T05:10:00,"Forbes AV & S Bellefield AV Pittsburgh, PA 15213",N,North Oakland,4,ROBBERY/CARJACK/GUN,3701 Robbery.,404,8,3,-79.95074274,40.44391617
3107235,19193215,3,2019-09-23T20:24:00,"3200 Block Brighton RD Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3701 Robbery. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,1,1,-80.03110812,40.47578918
3111508,19201471,3,2019-10-03T20:28:00,"3000 Block Merwyn AV Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY/CARJACK/GUN,2701 Simple Assault. / 3701 Robbery. / 3921 Theft by Unlawful Taking or Disposition.,2018,2,5,-80.05185969,40.45727555
