DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231214365,06/22/2023 12:00:00 AM,06/22/2023 12:00:00 AM,1540,12,77th Street,1215,1,210,ROBBERY,0916 0416 0417 0334 0342 1309 1310 0906,27,M,B,108,PARKING LOT,102,HAND GUN,AO,Adult Other,210,,,,5400 S  NORMANDIE                    AV,,33.9932,-118.3002
231309116,04/13/2023 12:00:00 AM,04/12/2023 12:00:00 AM,2330,13,Newton,1395,1,210,ROBBERY,1310 1309 0446 0916 0344 1300 0416 0337 0342,35,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,AVALON,GAGE                         ST,33.9815,-118.2652
231312380,06/16/2023 12:00:00 AM,06/16/2023 12:00:00 AM,1830,13,Newton,1351,1,210,ROBBERY,1822 0344 0302 0355 0916,58,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,210,,,,43RD                         ST,BROADWAY,34.0056,-118.2784
231500897,08/04/2023 12:00:00 AM,08/04/2023 12:00:00 AM,1945,15,N Hollywood,1504,1,210,ROBBERY,0344 0916,43,M,H,101,STREET,113,SIMULATED GUN,AA,Adult Arrest,210,,,,SHERMAN                      RD,RADFORD                      ST,34.202,-118.3922
231009757,05/30/2023 12:00:00 AM,05/30/2023 12:00:00 AM,1430,10,West Valley,1039,1,210,ROBBERY,0354 0916 0448 0400 1300 1822 0344 1414,55,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,VICTORY                      BL,WOODLEY                      AV,34.1866,-118.4836
231308763,04/05/2023 12:00:00 AM,04/05/2023 12:00:00 AM,0410,13,Newton,1307,1,210,ROBBERY,1310 0416 0344 1309 1281 0916 1311 0342 1822,46,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,700    STANFORD                     AV,,34.039,-118.2444
231709729,05/14/2023 12:00:00 AM,05/14/2023 12:00:00 AM,2130,17,Devonshire,1729,1,210,ROBBERY,0913 1802 1419 1407 0430 1100 0330 0916 1402,38,M,H,101,STREET,104,SHOTGUN,AA,Adult Arrest,210,998,,,17100    RINALDI                      ST,,34.2793,-118.5049
230220158,11/02/2023 12:00:00 AM,11/02/2023 12:00:00 AM,0625,02,Rampart,0246,1,210,ROBBERY,1300 1822 0334 1311 0910 0916,34,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,WILSHIRE,ALVARADO,34.0579,-118.2759
231216691,07/31/2023 12:00:00 AM,07/31/2023 12:00:00 AM,0110,12,77th Street,1249,1,210,ROBBERY,0916 0431 1822 0908,21,M,H,101,STREET,512,MACE/PEPPER SPRAY,IC,Invest Cont,210,510,,,GAGE                         AV,FLOWER                       ST,33.9824,-118.2811
231707762,04/06/2023 12:00:00 AM,04/05/2023 12:00:00 AM,1600,17,Devonshire,1737,1,210,ROBBERY,0416 0355 1202 0605 1822 1300 0202 0916,65,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,16500    CHATSWORTH                   ST,,34.2703,-118.4959
